Timestamp,FPS,CPU_Usage_Percent,RAM_Usage_MB,Posture_Status,Nose_X,Nose_Y,Head_Dist
2026-05-26 11:50:20,0.47,0.0,278.44,Aguardando Calibração,0.5787,0.3956,0.3796
2026-05-26 11:50:21,17.75,51.5,290.52,Aguardando Calibração,0.5455,0.4023,0.3624
2026-05-26 11:50:22,16.84,64.7,290.6,Aguardando Calibração,0.5537,0.4018,0.3644
2026-05-26 11:50:23,18.86,56.0,290.61,Aguardando Calibração,0.5518,0.4062,0.3595
2026-05-26 11:50:24,18.85,43.7,290.65,Aguardando Calibração,0.5522,0.4083,0.3584
2026-05-26 11:50:25,21.18,39.1,290.7,Aguardando Calibração,0.5696,0.4183,0.3522
2026-05-26 11:50:26,21.89,34.6,290.76,Aguardando Calibração,0.5691,0.4195,0.348
2026-05-26 11:50:27,21.38,37.2,290.77,Boa Postura,0.5501,0.4125,0.3578
2026-05-26 11:50:28,22.38,35.0,290.75,Boa Postura,0.5564,0.4163,0.3565
2026-05-26 11:50:29,21.83,38.7,290.79,Boa Postura,0.5512,0.399,0.3631
2026-05-26 11:50:30,22.67,33.7,290.81,Boa Postura,0.5525,0.4012,0.3563
2026-05-26 11:50:31,21.57,40.6,290.83,Boa Postura,0.5516,0.4032,0.3575
2026-05-26 11:50:32,22.1,39.7,290.84,Boa Postura,0.5495,0.405,0.3584
2026-05-26 11:50:33,21.53,43.0,290.84,Boa Postura,0.5517,0.4018,0.3656
2026-05-26 11:50:34,19.63,45.2,290.84,Boa Postura,0.5512,0.4069,0.3576
2026-05-26 11:50:35,21.38,43.8,290.86,Boa Postura,0.5469,0.4117,0.3577
2026-05-26 11:50:36,20.88,42.4,290.86,Boa Postura,0.5454,0.3768,0.389
2026-05-26 11:50:37,21.85,35.0,290.87,Boa Postura,0.5474,0.3598,0.3949
2026-05-26 11:50:38,22.39,41.6,290.88,Boa Postura,0.5399,0.3932,0.3668
2026-05-26 11:50:39,21.98,39.3,290.88,Boa Postura,0.5478,0.3879,0.3734
2026-05-26 11:50:40,22.1,36.8,290.89,Boa Postura,0.5425,0.3922,0.3719
2026-05-26 11:50:41,21.75,35.1,290.89,Boa Postura,0.5348,0.3906,0.3789
2026-05-26 11:50:42,22.23,36.5,290.88,Boa Postura,0.5355,0.3985,0.3658
2026-05-26 11:50:43,22.44,35.3,290.89,Boa Postura,0.542,0.4057,0.3588
2026-05-26 11:50:44,22.22,37.9,290.82,Boa Postura,0.5442,0.3975,0.3733
2026-05-26 11:50:45,22.57,32.4,290.91,Boa Postura,0.5473,0.3891,0.3817
2026-05-26 11:50:46,22.14,39.7,290.92,Boa Postura,0.543,0.3885,0.3784
2026-05-26 11:50:47,22.29,35.4,290.91,Boa Postura,0.5403,0.3944,0.3741
2026-05-26 11:50:48,21.34,39.4,290.91,Boa Postura,0.5439,0.3976,0.3711
2026-05-26 11:50:49,22.14,32.6,290.91,Boa Postura,0.5486,0.4003,0.3709
2026-05-26 11:50:50,22.37,35.4,290.92,Boa Postura,0.5172,0.4207,0.3263
2026-05-26 11:50:51,22.13,34.6,290.92,Boa Postura,0.5473,0.4215,0.3416
2026-05-26 11:50:52,22.48,34.0,290.98,Boa Postura,0.5485,0.4074,0.366
2026-05-26 11:50:53,21.62,39.9,290.99,Boa Postura,0.5512,0.4154,0.36
2026-05-26 11:50:54,21.68,37.9,291.01,Boa Postura,0.5497,0.415,0.3628
